time_s,gyro_pitch_rad_s
23.91,0.0827861570848828
23.92,0.07886966280879182
23.93,0.08911718190723912
23.94,0.0965941979319216
23.95,0.0847718981320381
23.96,0.09191807877041078
23.97,0.09299393305101242
23.98,0.10703147468050285
23.99,0.10760597773714842
24.0,0.10167731612537827
24.01,0.11267348040602668
24.02,0.10747748464834155
24.03,0.11229520581363757
24.04,0.13384224361761288
24.05,0.13263684325380798
24.06,0.10838953770185422
24.07,0.13186447538826743
24.08,0.13389169174240212
24.09,0.11653454591208082
24.1,0.1384734030983489
24.11,0.1479625206555449
24.12,0.12368460107203487
24.13,0.12809130172530936
24.14,0.14982883338313902
24.15,0.14478285815091088
24.16,0.15002835615013582
24.17,0.15039539551123485
24.18,0.15340282894019203
24.19,0.13876822156455657
24.2,0.16507416571112576
24.21,0.16889618883509452
24.22,0.1575372340286075
24.23,0.16205909087938977
24.24,0.14987770110052276
24.25,0.17305878340131134
24.26,0.17639717790602943
24.27,0.17284834991170628
24.28,0.1875411374843906
24.29,0.1758182783196424
24.3,0.18770109297238088
24.31,0.1747893610327511
24.32,0.1877169106121656
24.33,0.18921126191011572
24.34,0.19624670692282278
24.35,0.1933741573609797
24.36,0.19886801917371014
24.37,0.21159461777014377
24.38,0.2021565692646373
24.39,0.1936877725669137
24.4,0.23051860227699109
24.41,0.23014705261123805
24.42,0.20676082359569178
24.43,0.22997333880721132
24.44,0.22148189638025426
24.45,0.2326251947371196
24.46,0.23645528009493721
24.47,0.23473647790007396
24.48,0.23285600104228152
24.49,0.2374477381929073
24.5,0.23889793505375237
24.51,0.24349639805932374
24.52,0.25494653025378583
24.53,0.2523142205922221
24.54,0.27019657050835294
24.55,0.2822043908670195
24.56,0.2655398746497445
24.57,0.2777964961923625
24.58,0.28451590047264913
24.59,0.28841123125450946
24.6,0.2886795071664565
24.61,0.29963315551795516
24.62,0.3013738905756154
24.63,0.28857961857777004
24.64,0.3141135129197903
24.65,0.31882254926833564
24.66,0.3069075739127902
24.67,0.3195748530138007
24.68,0.33074920299840493
24.69,0.32660977674202724
24.7,0.34428743590563
24.71,0.36212004367835954
